mean_test_score,param_rf__n_estimators,param_rf__max_depth,mean_fit_time
0.9680313924037627,68,12,0.057766151428222653
0.9679979989622346,60,13,0.05705194473266602
0.9668125317879875,61,12,0.060181713104248045
0.9665821170414437,59,12,0.05251150131225586
0.9650398409444693,54,18,0.05463123321533203
0.9638313322955678,67,19,0.06648035049438476
0.9636009175490241,62,14,0.057460880279541014
0.9633705028024803,68,14,0.06136398315429688
0.9631066946144085,53,16,0.048507404327392575
0.9629997713833618,52,12,0.04450888633728027
0.9622751337022024,45,12,0.039316987991333006
0.960559147491125,46,18,0.04121131896972656
0.9600649245565094,42,18,0.03870539665222168
0.959895080375445,59,16,0.05816950798034668
0.9596646656289012,57,18,0.05708913803100586
0.9596646656289012,57,14,0.0502896785736084
0.9596646656289012,58,18,0.05007162094116211
0.9596543136620277,65,13,0.05948901176452637
0.9594238989154839,55,14,0.04934501647949219
0.9592038361358137,70,18,0.06005926132202148
0.9589400279477418,61,16,0.05456442832946777
0.958198565109505,44,12,0.03895936012268066
0.9569900564606035,40,12,0.038147258758544925
0.9529191778643957,62,10,0.046892404556274414
0.952688763117852,61,10,0.05929422378540039
0.9510636581744576,33,12,0.04311428070068359
0.9508666368694418,40,17,0.037048625946044925
0.9488195677970438,63,10,0.05768980979919434
0.9486667796906225,34,15,0.03299627304077148
0.9479524939763369,34,13,0.02794618606567383
0.9479087485679351,33,15,0.031497526168823245
0.9460294298968913,50,11,0.04281363487243652
0.9449505905501697,30,16,0.03061385154724121
0.9449505905501697,30,17,0.027552413940429687
0.9407386337365299,40,10,0.036993789672851565
0.9371588789891735,38,9,0.0351165771484375
0.9313759253836393,26,14,0.025766944885253905
0.9309288058832239,64,9,0.055450057983398436
0.9308186054587744,17,12,0.015490913391113281
0.9304679763901362,34,9,0.03461027145385742
0.9300669666938951,25,17,0.02572941780090332
0.9300669666938951,25,19,0.02846841812133789
0.9300304945514488,20,19,0.021480846405029296
0.9259075732931838,16,19,0.01728396415710449
0.9259075732931838,16,17,0.016717004776000976
0.9253244908434249,24,18,0.026167964935302733
0.9253244908434249,24,19,0.023645925521850585
0.9250353456734943,19,18,0.019020986557006837
0.9250353456734943,19,15,0.02136960029602051
0.9250161829755097,36,11,0.03807387351989746
0.9226625656126923,17,16,0.01710662841796875
0.9226625656126923,17,18,0.0171358585357666
0.9220482381106505,23,11,0.021699237823486327
0.9208104039485526,21,15,0.024269533157348634
0.9184376238877506,15,16,0.013950443267822266
0.9131429778729918,13,18,0.015895795822143555
0.9131429778729918,13,16,0.01472773551940918
0.9121840431658104,10,11,0.012697315216064453
0.9079846929601487,14,13,0.018352365493774413
0.9068088678502424,15,11,0.028466129302978517
0.9060380739285934,10,16,0.01646432876586914
0.8979340983934252,10,13,0.012345218658447265
0.8918690110730785,7,18,0.011386251449584961
0.889592901254893,5,10,0.007433843612670898
0.8879706256810044,7,10,0.010528659820556641
0.8735557359891161,34,8,0.030841684341430663
0.8729135598950762,5,15,0.008001995086669923
0.8722004246338049,37,8,0.03418831825256348
0.8716559831005833,57,8,0.0608367919921875
0.8714266253024183,51,8,0.04238338470458984
0.8713354702800705,56,8,0.05168972015380859
0.8697818733736551,5,13,0.0076443195343017575
0.8681135040742334,35,8,0.031784868240356444
0.8570692654703874,27,8,0.028557348251342773
0.8520311584161515,17,8,0.01886329650878906
0.8219006489755168,50,7,0.042635869979858396
0.8171369717924847,56,7,0.04700050354003906
0.8065197839312577,9,7,0.011071729660034179
0.8020058126290677,35,7,0.03424677848815918
0.7909854631795457,11,7,0.01365208625793457
0.7846248602481152,34,7,0.027607059478759764
0.712941078591065,12,6,0.016903209686279296
0.7097677605579995,51,6,0.044335031509399415
0.7055553927481562,8,6,0.012534999847412109
0.7042626205367304,49,6,0.042809057235717776
0.6993713161889044,46,6,0.04144759178161621
0.6881168824848779,25,6,0.019565057754516602
0.5857672323687482,11,5,0.01319880485534668
0.5424210775885121,57,5,0.04641680717468262
0.5395299761700614,64,5,0.053638458251953125
0.533924116391691,53,5,0.05221872329711914
0.5274529648223627,39,5,0.03280539512634277
0.5251653471104814,41,5,0.0352992057800293
0.5230374749826093,32,5,0.025737190246582033
0.5107782416960267,30,5,0.02637615203857422
0.4455811010277214,58,4,0.04332098960876465
0.4437274310884975,38,4,0.03333635330200195
0.3551837190735373,18,3,0.01656312942504883
0.34481639121672836,19,3,0.016442632675170897
0.32554832030989117,70,3,0.05994462966918945
